CATEGORIA;REGIAO;GRUPO;ANO_MODELO;SEXO_CONDUTOR;FAIXA_ETARIA;IS_MEDIA_REAL;EXPOSTOS;PREMIO_MEDIO;FREQ_INCENDIO_ROUBO;INDENI_INCENDIO_ROUBO;FREQ_COLISAO;INDENI_COLI;FREQ_OUTRAS;INDEN_OUTRAS
Passeio nacional;ES - Espírito Santo;FIAT PALIO 1.0;Todos;Feminino;Entre 18 e 25 anos;23307;48;1099;2;1022;2;11227;16;6286
Passeio nacional;ES - Espírito Santo;FIAT PALIO 1.0;Todos;Feminino;Entre 26 e 35 anos;24307;435;906;18;81925;19;232955;106;50338
Passeio nacional;ES - Espírito Santo;FIAT PALIO 1.0;Todos;Feminino;Entre 36 e 45 anos;23523;568;836;11;27369;27;270323;101;58119
Passeio nacional;ES - Espírito Santo;FIAT PALIO 1.0;Todos;Feminino;Entre 46 e 55 anos;23301;362;810;6;31178;7;47593;66;25873
Passeio nacional;ES - Espírito Santo;FIAT PALIO 1.0;Todos;Feminino;Maior que 55 anos;22662;462;775;11;46391;22;163387;142;32589
Passeio nacional;ES - Espírito Santo;FIAT PALIO 1.0;Todos;Masculino;Entre 18 e 25 anos;21861;51;1181;1;519;0;0;8;6134
Passeio nacional;ES - Espírito Santo;FIAT PALIO 1.0;Todos;Masculino;Entre 26 e 35 anos;23278;457;912;4;27584;24;169271;89;39596
Passeio nacional;ES - Espírito Santo;FIAT PALIO 1.0;Todos;Masculino;Entre 36 e 45 anos;23126;540;853;15;32400;20;186635;81;49803
Passeio nacional;ES - Espírito Santo;FIAT PALIO 1.0;Todos;Masculino;Entre 46 e 55 anos;22986;392;829;4;16992;22;160718;77;39384
Passeio nacional;ES - Espírito Santo;FIAT PALIO 1.0;Todos;Masculino;Maior que 55 anos;22675;731;776;11;33547;34;230756;120;114933
Passeio nacional;MG - Met.BH-Centro Oeste-Zona Mata-C. Vertentes;FIAT PALIO 1.0;Todos;Feminino;Entre 18 e 25 anos;21744;223;1046;9;30892;15;97023;44;12760
Passeio nacional;MG - Met.BH-Centro Oeste-Zona Mata-C. Vertentes;FIAT PALIO 1.0;Todos;Feminino;Entre 26 e 35 anos;22883;2144;912;98;679903;92;506597;448;347009
Passeio nacional;MG - Met.BH-Centro Oeste-Zona Mata-C. Vertentes;FIAT PALIO 1.0;Todos;Feminino;Entre 36 e 45 anos;22322;3207;834;119;670462;163;997294;594;317101
Passeio nacional;MG - Met.BH-Centro Oeste-Zona Mata-C. Vertentes;FIAT PALIO 1.0;Todos;Feminino;Entre 46 e 55 anos;21708;2443;816;74;395199;110;565368;495;319381
Passeio nacional;MG - Met.BH-Centro Oeste-Zona Mata-C. Vertentes;FIAT PALIO 1.0;Todos;Feminino;Maior que 55 anos;21189;3004;759;131;180327;109;834611;755;338418
Passeio nacional;MG - Met.BH-Centro Oeste-Zona Mata-C. Vertentes;FIAT PALIO 1.0;Todos;Masculino;Entre 18 e 25 anos;21126;231;1157;10;6343;27;233185;24;32944
Passeio nacional;MG - Met.BH-Centro Oeste-Zona Mata-C. Vertentes;FIAT PALIO 1.0;Todos;Masculino;Entre 26 e 35 anos;22255;1628;957;69;369487;108;701725;374;205846
Passeio nacional;MG - Met.BH-Centro Oeste-Zona Mata-C. Vertentes;FIAT PALIO 1.0;Todos;Masculino;Entre 36 e 45 anos;21720;2410;848;105;468691;131;1196195;437;258318
Passeio nacional;MG - Met.BH-Centro Oeste-Zona Mata-C. Vertentes;FIAT PALIO 1.0;Todos;Masculino;Entre 46 e 55 anos;21224;2121;831;62;318807;83;473183;358;267996
Passeio nacional;MG - Met.BH-Centro Oeste-Zona Mata-C. Vertentes;FIAT PALIO 1.0;Todos;Masculino;Maior que 55 anos;20943;4005;757;100;400329;123;868263;623;476519
Passeio nacional;MG - Sul;FIAT PALIO 1.0;Todos;Feminino;Entre 18 e 25 anos;21583;103;1025;0;0;5;32902;12;4200
Passeio nacional;MG - Sul;FIAT PALIO 1.0;Todos;Feminino;Entre 26 e 35 anos;22529;817;803;19;136076;32;275935;127;98527
Passeio nacional;MG - Sul;FIAT PALIO 1.0;Todos;Feminino;Entre 36 e 45 anos;22424;844;738;20;11479;38;208026;164;125282
Passeio nacional;MG - Sul;FIAT PALIO 1.0;Todos;Feminino;Entre 46 e 55 anos;22011;651;743;7;26870;23;166410;87;33876
Passeio nacional;MG - Sul;FIAT PALIO 1.0;Todos;Feminino;Maior que 55 anos;21827;924;693;8;3927;37;184541;188;83950
Passeio nacional;MG - Sul;FIAT PALIO 1.0;Todos;Masculino;Entre 18 e 25 anos;21318;100;1197;2;1423;12;46160;27;8779
Passeio nacional;MG - Sul;FIAT PALIO 1.0;Todos;Masculino;Entre 26 e 35 anos;22099;675;852;20;45707;36;258996;157;89526
Passeio nacional;MG - Sul;FIAT PALIO 1.0;Todos;Masculino;Entre 36 e 45 anos;22064;757;780;21;32110;41;257467;179;148244
Passeio nacional;MG - Sul;FIAT PALIO 1.0;Todos;Masculino;Entre 46 e 55 anos;22094;612;756;7;40753;24;116770;74;77483
Passeio nacional;MG - Sul;FIAT PALIO 1.0;Todos;Masculino;Maior que 55 anos;21744;1412;681;10;29998;64;412057;205;159312
Passeio nacional;MG - Triângulo mineiro;FIAT PALIO 1.0;Todos;Feminino;Entre 18 e 25 anos;22795;114;1050;4;2062;10;75024;24;13504
Passeio nacional;MG - Triângulo mineiro;FIAT PALIO 1.0;Todos;Feminino;Entre 26 e 35 anos;23220;713;888;28;105093;41;312217;145;84460
Passeio nacional;MG - Triângulo mineiro;FIAT PALIO 1.0;Todos;Feminino;Entre 36 e 45 anos;23269;817;800;30;55214;39;230181;142;96666
Passeio nacional;MG - Triângulo mineiro;FIAT PALIO 1.0;Todos;Feminino;Entre 46 e 55 anos;22516;663;812;23;90446;42;331939;94;64692
